,Department,Count
0,CMST,95
1,ANCM,7
2,RLST,33
3,BCSN,13
4,POLI,8
5,IMMU,1
6,TURK,15
7,ARME,6
8,EDSO,9
9,REMS,1
10,TAML,6
11,CEGU,114
12,PHYS,28
13,CLAS,26
14,ANTH,218
15,AANL,2
16,ISLM,17
17,SSAD,2
18,PBHS,4
19,COGS,26
20,HCHR,4
21,MAPS,9
22,CHSS,25
23,DEMS,25
24,GLST,57
25,SOSC,42
26,MARA,12
27,SANS,5
28,CHIN,62
29,CMSC,102
30,BIBL,39
31,CPNS,2
32,GRMN,32
33,HEBR,35
34,JAPN,18
35,REES,21
36,STAT,30
37,LLSO,30
38,ASTR,44
39,PARR,1
40,ARCH,106
41,CHDV,70
42,PSYC,24
43,KREY,8
44,HIST,139
45,ARTH,119
46,ARAM,8
47,FREN,88
48,AKKD,7
49,TAPS,34
50,ITAL,50
51,DIGS,13
52,LACS,61
53,GEOS,29
54,BPRO,6
55,HIJD,7
56,FNDL,87
57,PERS,8
58,KORE,18
59,HIPS,36
60,SALC,13
61,LATN,17
62,CMLT,122
63,KNOW,6
64,ECEV,1
65,GREK,11
66,HLTH,8
67,JWSC,20
68,ARTV,86
69,CAPP,2
70,ASLG,8
71,CAAM,3
72,PBPL,40
73,EALC,67
74,DATA,30
75,PPHA,1
76,ENSC,19
77,MOGK,6
78,HIND,12
79,BCMB,3
80,CLCV,38
81,CCTS,14
82,DVPR,19
83,LING,24
84,ECON,98
85,NSCI,32
86,CRWR,96
87,RDIN,6
88,HGEN,1
89,MDVL,11
90,HUMA,37
91,GEOG,3
92,CHEM,74
93,BANG,8
94,CCCT,10
95,BIOS,211
96,EGPT,3
97,SWAH,6
98,ARAB,51
99,PLSC,23
100,IRHU,5
101,SCPD,4
102,GISC,4
103,INRE,10
104,PORT,8
105,CATA,27
106,SPAN,39
107,NEAA,8
108,AMER,25
109,PHIL,31
110,CMES,2
111,ENST,29
112,MATH,61
113,RUSS,10
114,PHSC,10
115,NORW,7
116,BUSN,33
117,GNSE,81
118,UZBK,2
119,MAAD,40
120,ENGL,135
121,CZEC,6
122,NEHC,25
123,SUMR,8
124,SOCI,19
125,MACS,11
126,AASR,10
127,MENG,52
128,TBTN,6
129,ECMA,27
130,URDU,6
131,BASQ,17
132,KAZK,5
133,NELG,1
134,CHST,35
135,HMRT,39
136,MUSI,59
137,CDIN,2
138,CRES,77
139,HREL,6
